00:03:1C;Svenska Hardvar
00:03:1D;Taiwan Commate 
00:03:1E;Optranet,Inc.
00:03:1F;Condev Ltd.
00:03:20;Xpeed,Inc.
00:03:21;Reco Research C
00:03:22;IDIS Co.,Ltd.
00:03:23;Cornet Technolo
00:03:24;SANYO Consumer 
00:03:25;Arima Computer 
00:03:26;Iwasaki Informa
00:03:27;ACT'L
00:03:28;Mace Group,Inc.
00:03:29;F3,Inc.
00:03:2A;UniData Communi
00:03:2B;GAI Datenfunksy
00:03:2C;ABB Switzerland
00:03:2D;IBASE Technolog
00:03:2E;Scope Informati
00:03:2F;Global Sun Tech
00:03:30;Imagenics,Co.,L
00:03:31;Cisco Systems,I
00:03:32;Cisco Systems,I
00:03:33;Digitel Co.,Ltd
00:03:34;Newport Electro
00:03:35;Mirae Technolog
00:03:36;Zetes Technolog
00:03:37;Vaone,Inc.
00:03:38;Oak Technology
00:03:39;Eurologic Syste
00:03:3A;Silicon Wave,In
00:03:3B;TAMI Tech Co.,L
00:03:3C;Daiden Co.,Ltd.
00:03:3D;ILSHin Lab
00:03:3E;Tateyama System
00:03:3F;BigBand Network
00:03:40;Floware Wireles
00:03:41;Axon Digital De
00:03:42;Nortel Networks
00:03:43;Martin Professi
00:03:44;Tietech.Co.,Ltd
00:03:45;Routrek Network
00:03:46;Hitachi Kokusai
00:03:47;Intel Corporati
00:03:48;Norscan Instrum
00:03:49;Vidicode Dataco
00:03:4A;RIAS Corporatio
00:03:4B;Nortel Networks
00:03:4C;Shanghai DigiVi
00:03:4D;Chiaro Networks
00:03:4E;Pos Data Compan
00:03:4F;Sur-Gard Securi
00:03:50;BTICINO SPA
00:03:51;Diebold,Inc.
00:03:52;Colubris Networ
00:03:53;Mitac,Inc.
